Timestamp,S05,S06,S07,S08,Hum.,Pres.,Temp.
2025-04-01 13:00:00,11883.71,24646.73,11247.00,24669.23,45.17,1013.69,28.37
2025-04-01 15:00:00,11882.20,24647.19,11247.79,24669.80,37.04,1011.57,33.41
2025-04-01 17:00:00,11880.25,24647.37,11248.00,24671.00,37.26,1010.26,31.13
2025-04-01 19:00:00,11879.00,24646.75,11246.26,24672.00,41.91,1009.54,28.28
2025-04-01 21:00:00,11879.00,24646.89,11246.00,24671.68,45.88,1009.84,26.78
2025-04-01 23:00:00,11879.00,24647.00,11246.85,24670.86,48.90,1009.79,26.09
2025-04-02 01:00:00,11878.10,24647.14,11247.00,24670.00,51.75,1008.88,25.47
2025-04-02 03:00:00,11878.00,24647.27,11246.23,24670.00,55.43,1008.16,24.55
2025-04-02 05:00:00,11878.00,24647.00,11245.52,24670.00,58.30,1007.34,23.98
2025-04-02 07:00:00,11878.64,24647.00,11246.28,24670.62,60.04,1008.02,23.47
2025-04-02 09:00:00,11879.00,24647.00,11246.57,24671.00,60.94,1008.74,23.58
2025-04-02 11:00:00,11879.00,24647.00,11246.00,24671.00,61.61,1008.82,23.94
2025-04-02 13:00:00,,,,,62.16,1008.14,24.02
2025-04-02 15:00:00,,,,,63.30,1007.09,23.58
2025-04-02 17:00:00,,,,,64.30,1006.68,23.24
2025-04-02 19:00:00,,,,,64.96,1006.76,23.09
2025-04-02 21:00:00,,,,,65.44,1007.32,23.05
2025-04-02 23:00:00,,,,,66.07,1008.06,22.77
2025-04-03 01:00:00,,,,,66.53,1008.05,22.59
2025-04-03 03:00:00,,,,,67.01,1008.00,22.48
2025-04-03 05:00:00,,,,,67.64,1008.58,22.52
2025-04-03 07:00:00,,,,,68.12,1009.45,22.50
2025-04-03 09:00:00,,,,,69.16,1010.54,22.94
2025-04-03 11:00:00,,,,,75.23,1011.36,23.69
2025-04-03 13:00:00,,,,,73.13,1010.98,26.23
2025-04-03 15:00:00,11880.50,24646.25,11246.00,24668.20,69.68,1010.16,30.81
2025-04-03 17:00:00,11879.50,24646.00,11246.47,24670.70,67.50,1010.35,35.08
2025-04-03 19:00:00,11877.64,24646.00,11246.30,24670.38,68.88,1011.53,27.99
2025-04-03 21:00:00,11877.00,24646.93,11246.14,24670.00,70.02,1013.25,25.19
2025-04-03 23:00:00,11877.83,24646.55,11246.08,24670.00,70.73,1015.58,23.12
2025-04-04 01:00:00,11878.00,24646.19,11246.00,24670.09,71.09,1018.38,20.43
2025-04-04 03:00:00,11876.60,24646.89,11246.12,24669.48,70.09,1020.48,17.92
2025-04-04 05:00:00,11876.82,24646.84,11246.14,24669.56,64.14,1021.76,16.27
2025-04-04 07:00:00,11878.11,24646.67,11246.00,24670.00,60.84,1023.44,14.76
2025-04-04 09:00:00,11880.80,24646.58,11246.07,24670.48,59.10,1024.49,15.60
2025-04-04 11:00:00,11882.83,24646.67,11247.08,24668.62,54.41,1024.88,19.24
2025-04-04 13:00:00,11882.79,24646.46,11246.73,24668.48,46.16,1024.07,23.41
2025-04-04 15:00:00,11882.62,24646.31,11246.09,24669.80,38.49,1022.69,28.04
2025-04-04 17:00:00,11881.73,24646.83,11246.00,24669.92,32.18,1021.96,31.24
2025-04-04 19:00:00,11879.56,24646.50,11245.70,24670.22,35.49,1022.31,23.08
2025-04-04 21:00:00,11877.64,24646.27,11246.12,24670.30,41.00,1023.14,19.95
2025-04-04 23:00:00,11877.17,24646.85,11246.17,24669.25,44.38,1023.85,18.07
2025-04-05 01:00:00,11878.00,24646.87,11246.00,24670.00,47.09,1024.06,16.54
2025-04-05 03:00:00,11878.13,24646.96,11246.00,24669.82,49.03,1023.89,15.18
2025-04-05 05:00:00,11878.75,24646.15,11246.24,24670.00,50.78,1024.17,14.01
2025-04-05 07:00:00,11879.14,24647.00,11247.00,24669.86,52.55,1025.07,13.03
2025-04-05 09:00:00,11881.17,24647.24,11247.00,24670.64,53.06,1025.41,14.59
2025-04-05 11:00:00,11883.83,24647.00,11247.38,24669.04,49.13,1024.50,19.72
2025-04-05 13:00:00,11884.17,24646.80,11246.53,24669.28,42.29,1021.88,26.22
2025-04-05 15:00:00,11883.00,24646.53,11247.14,24669.00,36.18,1019.52,31.06
2025-04-05 17:00:00,11881.64,24647.65,11247.00,24669.13,29.15,1018.14,35.42
2025-04-05 19:00:00,11879.27,24647.27,11246.85,24669.00,34.73,1018.02,27.27
2025-04-05 21:00:00,11878.62,24647.00,11246.58,24669.88,41.27,1018.78,24.09
2025-04-05 23:00:00,11878.14,24647.00,11245.53,24670.32,46.30,1018.61,22.00
2025-04-06 01:00:00,11878.00,24647.00,11246.39,24669.93,50.24,1018.27,20.33
2025-04-06 03:00:00,11877.50,24647.00,11247.00,24669.24,52.74,1017.78,19.36
2025-04-06 05:00:00,11878.30,24647.00,11246.83,24669.91,53.91,1017.37,18.76
2025-04-06 07:00:00,11879.00,24647.00,11247.00,24670.00,55.19,1017.68,18.40
2025-04-06 09:00:00,11880.75,24647.00,11247.43,24670.38,55.48,1017.91,20.38
2025-04-06 11:00:00,11883.12,24646.65,11247.00,24668.76,51.17,1017.54,25.17
2025-04-06 13:00:00,11883.42,24646.05,11247.37,24668.94,44.92,1016.01,29.36
2025-04-06 15:00:00,11881.60,24647.20,11247.37,24669.42,39.99,1014.01,32.23
2025-04-06 17:00:00,11879.50,24647.00,11246.46,24670.12,39.09,1013.10,29.56
2025-04-06 19:00:00,,,,,40.28,1013.35,27.75
2025-04-06 21:00:00,,,,,43.17,1013.33,25.53
2025-04-06 23:00:00,,,,,44.59,1013.05,24.30
2025-04-07 01:00:00,,,,,50.46,1013.32,22.75
2025-04-07 03:00:00,,,,,55.03,1012.48,21.43
2025-04-07 05:00:00,,,,,58.75,1012.06,20.90
2025-04-07 07:00:00,,,,,61.97,1011.47,20.45
2025-04-07 09:00:00,,,,,63.86,1010.99,20.46
2025-04-07 11:00:00,,,,,64.84,1010.73,20.58
2025-04-07 13:00:00,,,,,65.39,1009.09,20.74
2025-04-07 15:00:00,,,,,66.29,1008.02,20.93
2025-04-07 17:00:00,,,,,66.85,1007.23,20.91
2025-04-07 19:00:00,,,,,67.28,1007.20,20.55
2025-04-07 21:00:00,,,,,67.81,1007.57,20.47
2025-04-07 23:00:00,,,,,68.40,1007.54,20.70
2025-04-08 01:00:00,,,,,68.84,1007.19,20.86
2025-04-08 03:00:00,,,,,68.91,1006.56,20.77
2025-04-08 05:00:00,,,,,68.82,1006.56,20.25
2025-04-08 07:00:00,,,,,68.64,1007.28,20.10
2025-04-08 09:00:00,,,,,68.58,1008.30,20.34
2025-04-08 11:00:00,,,,,67.01,1008.41,22.18
2025-04-08 13:00:00,,,,,63.69,1007.89,24.09
2025-04-08 15:00:00,,,,,60.36,1007.45,24.79
2025-04-08 17:00:00,,,,,59.42,1007.29,25.05
2025-04-08 19:00:00,,,,,61.29,1007.66,23.64
2025-04-08 21:00:00,,,,,63.24,1008.23,22.96
2025-04-08 23:00:00,,,,,64.47,1008.22,22.79
2025-04-09 01:00:00,,,,,65.60,1008.09,22.53
2025-04-09 03:00:00,,,,,66.59,1008.16,22.27
2025-04-09 05:00:00,,,,,67.31,1008.50,22.15
2025-04-09 07:00:00,,,,,67.76,1009.14,22.23
2025-04-09 09:00:00,,,,,67.65,1010.31,22.87
2025-04-09 11:00:00,,,,,65.14,1010.41,25.10
2025-04-09 13:00:00,,,,,59.71,1009.48,27.42
2025-04-09 15:00:00,,,,,53.16,1008.52,29.61
2025-04-09 17:00:00,,,,,51.63,1008.41,28.55
2025-04-09 19:00:00,,,,,55.28,1008.62,26.58
2025-04-09 21:00:00,,,,,58.01,1009.24,25.71
2025-04-09 23:00:00,,,,,60.16,1009.62,24.40
2025-04-10 01:00:00,,,,,61.68,1009.72,23.27
2025-04-10 03:00:00,,,,,62.73,1009.53,22.79
2025-04-10 05:00:00,,,,,63.42,1009.50,22.48
2025-04-10 07:00:00,,,,,64.13,1009.88,21.99
2025-04-10 09:00:00,,,,,63.56,1010.39,23.45
2025-04-10 11:00:00,,,,,60.52,1010.28,26.78
2025-04-10 13:00:00,,,,,54.15,1009.32,29.38
2025-04-10 15:00:00,11880.00,24644.89,11245.70,24667.57,47.55,1007.73,31.68
2025-04-10 17:00:00,11879.11,24645.45,11245.48,24668.96,46.06,1007.23,30.71
2025-04-10 19:00:00,11877.71,24646.00,11245.12,24669.79,50.32,1007.35,28.52
2025-04-10 21:00:00,11877.62,24646.00,11246.00,24669.08,52.86,1008.02,27.21
2025-04-10 23:00:00,11878.80,24646.00,11246.00,24669.00,55.07,1008.45,25.76
2025-04-11 01:00:00,11878.36,24646.00,11246.00,24669.00,56.77,1008.48,24.62
2025-04-11 03:00:00,11879.00,24645.80,11246.00,24669.00,57.91,1008.57,24.30
2025-04-11 05:00:00,11878.50,24645.36,11245.62,24669.00,61.32,1008.07,23.37
2025-04-11 07:00:00,11878.50,24645.00,11245.00,24669.00,60.61,1008.75,23.24
2025-04-11 09:00:00,11880.29,24645.94,11245.59,24668.61,59.27,1009.53,24.18
2025-04-11 11:00:00,11881.64,24645.70,11246.00,24668.04,56.77,1009.55,27.04
2025-04-11 13:00:00,11882.73,24645.74,11246.85,24667.13,49.67,1008.18,31.48
2025-04-11 15:00:00,11882.31,24645.91,11246.42,24669.11,39.52,1006.47,33.92
2025-04-11 17:00:00,11880.20,24646.05,11247.33,24669.28,36.76,1005.73,34.94
